gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
1e-05,0.05,1.0356589e-07
2.5e-05,0.05,1.0356734e-07
4.75e-05,0.05,1.0356952e-07
8.125e-05,0.05,1.0357278e-07
0.000131875,0.05,1.0357768e-07
0.0002078125,0.05,1.0358503e-07
0.00032171875,0.05,1.0359605e-07
0.00049257812,0.05,1.0361258e-07
0.00074886719,0.05,1.036374e-07
0.0011333008,0.05,1.0367465e-07
0.0017099512,0.05,1.0373058e-07
0.0025749268,0.05,1.0381461e-07
0.0038723901,0.05,1.0394096e-07
0.0058185852,0.05,1.0413116e-07
0.0087378778,0.05,1.0441804e-07
0.013116817,0.05,1.0485205e-07
0.019685225,0.05,1.0551191e-07
0.029537838,0.05,1.0652354e-07
0.044316756,0.05,1.0809793e-07
0.066485135,0.05,1.1062102e-07
0.096485135,0.05,1.1447354e-07
0.12648513,0.05,1.191136e-07
0.15648513,0.05,1.2505358e-07
0.18648513,0.05,1.3316138e-07
0.21648513,0.05,1.4490041e-07
0.24648513,0.05,1.6272044e-07
0.27648513,0.05,1.906793e-07
0.30648513,0.05,2.3540017e-07
0.33648513,0.05,3.0746371e-07
0.36648513,0.05,4.2326491e-07
0.39648513,0.05,6.0712796e-07
0.42648513,0.05,8.9298617e-07
0.45648513,0.05,1.3242579e-06
0.48648513,0.05,1.9501583e-06
0.51648513,0.05,2.8175221e-06
0.54648513,0.05,3.959777e-06
0.57648513,0.05,5.3875674e-06
0.60648513,0.05,7.0857531e-06
0.63648513,0.05,9.0180788e-06
0.66648513,0.05,1.1136583e-05
0.69648513,0.05,1.3391191e-05
0.72648513,0.05,1.5736448e-05
0.75648513,0.05,1.8134732e-05
0.78648513,0.05,2.0556775e-05
0.81648513,0.05,2.2980839e-05
0.84648513,0.05,2.5391236e-05
0.87648513,0.05,2.7776984e-05
0.90648513,0.05,3.0130558e-05
0.93648513,0.05,3.2446967e-05
0.96648513,0.05,3.472305e-05
0.99648513,0.05,3.6956911e-05
1.0264851,0.05,3.9147642e-05
1.0564851,0.05,4.129494e-05
1.0864851,0.05,4.3399003e-05
1.1164851,0.05,4.5460328e-05
1.1464851,0.05,4.7479659e-05
1.1764851,0.05,4.9457876e-05
1.2064851,0.05,5.1395972e-05
1.2364851,0.05,5.3294997e-05
1.2664851,0.05,5.5156038e-05
1.2964851,0.05,5.6980196e-05
1.3264851,0.05,5.8768573e-05
1.3564851,0.05,6.0522258e-05
1.3864851,0.05,6.2242323e-05
1.4164851,0.05,6.3929813e-05
1.4464851,0.05,6.5585746e-05
1.4764851,0.05,6.7211106e-05
1.5064851,0.05,6.8806849e-05
1.5364851,0.05,7.0373892e-05
1.5664851,0.05,7.1913121e-05
1.5964851,0.05,7.3425389e-05
1.6264851,0.05,7.4911514e-05
1.6564851,0.05,7.6372283e-05
1.6864851,0.05,7.7808454e-05
1.7164851,0.05,7.9220753e-05
1.7464851,0.05,8.0609879e-05
1.7764851,0.05,8.1976502e-05
1.8064851,0.05,8.332127e-05
1.8364851,0.05,8.4644803e-05
1.8664851,0.05,8.5947701e-05
1.8964851,0.05,8.723054e-05
1.9264851,0.05,8.8493876e-05
1.9564851,0.05,8.9738246e-05
1.9864851,0.05,9.0964166e-05
2.0164851,0.05,9.2172137e-05
2.0464851,0.05,9.3362642e-05
2.0764851,0.05,9.4536146e-05
2.1064851,0.05,9.5693099e-05
2.1364851,0.05,9.6833937e-05
2.1664851,0.05,9.795908e-05
2.1964851,0.05,9.9068934e-05
2.2264851,0.05,0.00010016389
2.2564851,0.05,0.00010124433
2.2864851,0.05,0.00010231063
2.3164851,0.05,0.0001033631
2.3464851,0.05,0.00010440206
2.3764851,0.05,0.00010542786
2.4064851,0.05,0.00010644079
2.4364851,0.05,0.00010744121
2.4664851,0.05,0.00010842943
2.4964851,0.05,0.00010940574
2.5264851,0.05,0.0001103704
2.5564851,0.05,0.0001113237
2.5864851,0.05,0.00011226588
2.6164851,0.05,0.00011319721
2.6464851,0.05,0.00011411793
2.6764851,0.05,0.00011502826
2.7064851,0.05,0.00011592845
2.7364851,0.05,0.00011681871
2.7664851,0.05,0.00011769925
2.7964851,0.05,0.00011857029
2.8264851,0.05,0.00011943202
2.8564851,0.05,0.00012028463
2.8864851,0.05,0.00012112832
2.9164851,0.05,0.00012196326
2.9464851,0.05,0.00012278964
2.9764851,0.05,0.00012360762
3,0.05,0.00012424301

